TYPE;WORD_1;WORD_ORDER;COLOR_1;COLOR_ORDER;TYPE_CATEGORY;STRATEGY
INTP;energy;WORD_1;lilac;COLOR_1;analyst;thinking
ISTP;confident;WORD_1;lilac;COLOR_1;explorer;thinking
ENFJ;confident;WORD_1;lilac;COLOR_1;diplomat;feeling
ISTP;dramatic;WORD_1;neon green;COLOR_1;explorer;thinking
ENFP;joy;WORD_1;lilac;COLOR_1;diplomat;feeling
ENFP;romantic;WORD_1;pink;COLOR_1;diplomat;feeling
ISTP;confident;WORD_1;lilac;COLOR_1;explorer;thinking
INTP;concentration;WORD_1;neon green;COLOR_1;analyst;thinking
INTJ;melancholy;WORD_1;blue;COLOR_1;analyst;thinking
INFJ;euphoric;WORD_1;blue;COLOR_1;diplomat;feeling
INTP;energy;WORD_1;lilac;COLOR_1;analyst;thinking
INFP;euphoric;WORD_1;lilac;COLOR_1;diplomat;feeling
ENFJ;longing;WORD_1;blue;COLOR_1;diplomat;feeling
INFJ;angst;WORD_1;blue;COLOR_1;diplomat;feeling
INTJ;focused;WORD_1;neon green;COLOR_1;analyst;thinking
INTP;powerful;WORD_1;lilac;COLOR_1;analyst;thinking
ENTP;euphoric;WORD_1;lilac;COLOR_1;analyst;thinking
ENTP;focused;WORD_1;neon green;COLOR_1;analyst;thinking
ENTJ;euphoric;WORD_1;lilac;COLOR_1;analyst;thinking
ESTP;bold;WORD_1;orange;COLOR_1;explorer;thinking
ENTP;bold;WORD_1;orange;COLOR_1;analyst;thinking
INFP;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
ENFP;confident;WORD_1;lilac;COLOR_1;diplomat;feeling
INTJ;focused;WORD_1;neon green;COLOR_1;analyst;thinking
INTP;empath;WORD_1;blue;COLOR_1;analyst;thinking
INFJ;melancholy;WORD_1;blue;COLOR_1;diplomat;feeling
INTP;thankful;WORD_1;blue;COLOR_1;analyst;thinking
INFJ;melancholy;WORD_1;blue;COLOR_1;diplomat;feeling
ENTP;concentration;WORD_1;neon green;COLOR_1;analyst;thinking
INFJ;confident;WORD_1;lilac;COLOR_1;diplomat;feeling
INFP;comforting;WORD_1;pastel green;COLOR_1;diplomat;feeling
INFJ;angst;WORD_1;blue;COLOR_1;diplomat;feeling
INFP;comforting;WORD_1;pastel green;COLOR_1;diplomat;feeling
ENTJ;confident;WORD_1;lilac;COLOR_1;analyst;thinking
INFJ;confident;WORD_1;lilac;COLOR_1;diplomat;feeling
ENFP;energetic;WORD_1;orange;COLOR_1;diplomat;feeling
INFP;bold;WORD_1;orange;COLOR_1;diplomat;feeling
ENTP;chill;WORD_1;pastel green;COLOR_1;analyst;thinking
INTJ;bold;WORD_1;orange;COLOR_1;analyst;thinking
INFJ;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
ENTJ;wistful;WORD_1;blue;COLOR_1;analyst;thinking
INTJ;bold;WORD_1;orange;COLOR_1;analyst;thinking
ISFP;happy;WORD_1;lilac;COLOR_1;explorer;feeling
ESTJ;angst;WORD_1;blue;COLOR_1;sentinel;thinking
INFJ;melancholy;WORD_1;blue;COLOR_1;diplomat;feeling
INFJ;melancholy;WORD_1;blue;COLOR_1;diplomat;feeling
INTJ;wistful;WORD_1;blue;COLOR_1;analyst;thinking
INFJ;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
ENTP;bold;WORD_1;orange;COLOR_1;analyst;thinking
ENTP;bold;WORD_1;orange;COLOR_1;analyst;thinking
ENFP;hype;WORD_1;lilac;COLOR_1;diplomat;feeling
INTP;peaceful;WORD_1;pastel green;COLOR_1;analyst;thinking
INTP;yearning;WORD_1;pink;COLOR_1;analyst;thinking
INFP;bold;WORD_1;orange;COLOR_1;diplomat;feeling
ENTP;wistful;WORD_1;blue;COLOR_1;analyst;thinking
INTP;focused;WORD_1;neon green;COLOR_1;analyst;thinking
ENTP;bold;WORD_1;orange;COLOR_1;analyst;thinking
INFJ;bold;WORD_1;orange;COLOR_1;diplomat;feeling
ENTP;wistful;WORD_1;blue;COLOR_1;analyst;thinking
ENFJ;comforting;WORD_1;pastel green;COLOR_1;diplomat;feeling
ISTP;bold;WORD_1;orange;COLOR_1;explorer;thinking
ISTP;hype;WORD_1;lilac;COLOR_1;explorer;thinking
ENTP;wistful;WORD_1;blue;COLOR_1;analyst;thinking
INFJ;healing;WORD_1;pastel green;COLOR_1;diplomat;feeling
ENTP;spooky;WORD_1;neon green;COLOR_1;analyst;thinking
INTP;kindness;WORD_1;lilac;COLOR_1;analyst;thinking
ENTP;bold;WORD_1;orange;COLOR_1;analyst;thinking
ENTP;comforting;WORD_1;pastel green;COLOR_1;analyst;thinking
ESTJ;wistful;WORD_1;blue;COLOR_1;sentinel;thinking
ESFP;bold;WORD_1;orange;COLOR_1;explorer;feeling
ENTP;angst;WORD_1;blue;COLOR_1;analyst;thinking
INTP;confident;WORD_1;lilac;COLOR_1;analyst;thinking
ENFP;peppy;WORD_1;lilac;COLOR_1;diplomat;feeling
ENTP;confident;WORD_1;lilac;COLOR_1;analyst;thinking
INTP;euphoric;WORD_1;blue;COLOR_1;analyst;thinking
ENTJ;confident;WORD_1;lilac;COLOR_1;analyst;thinking
ENFP;wistful;WORD_1;blue;COLOR_1;diplomat;feeling
INTP;focused;WORD_1;neon green;COLOR_1;analyst;thinking
INFP;melancholy;WORD_1;blue;COLOR_1;diplomat;feeling
ESTJ;euphoric;WORD_1;lilac;COLOR_1;sentinel;thinking
ENTP;confident;WORD_1;lilac;COLOR_1;analyst;thinking
INFP;energy;WORD_1;lilac;COLOR_1;diplomat;feeling
ISTP;angst;WORD_1;blue;COLOR_1;explorer;thinking
ENTP;melancholy;WORD_1;blue;COLOR_1;analyst;thinking
ENTP;confident;WORD_1;lilac;COLOR_1;analyst;thinking
